Dates,Open rates,Max Rates,Min Rates
04-02-2016,"11,5400","11,6000","11,4300"
05-02-2016,"11,5600","11,6900","11,4200"
08-02-2016,"11,6400","11,6400","11,4600"
09-02-2016,"11,5000","11,5900","11,4600"
10-02-2016,"11,4700","12,6100","11,4700"
11-02-2016,"12,4400","12,5000","11,7100"
12-02-2016,"12,0000","12,1500","12,0000"
15-02-2016,"12,0000","12,1900","11,8000"
16-02-2016,"12,0000","12,4800","12,0000"
17-02-2016,"12,2900","12,4400","11,8900"
18-02-2016,"12,1000","12,4000","11,8200"
19-02-2016,"12,4000","12,4000","12,0100"
22-02-2016,"12,4700","13,0900","12,4700"
23-02-2016,"13,2400","13,2600","13,0000"
24-02-2016,"13,2300","13,6700","13,2300"
25-02-2016,"13,2900","13,6700","13,2900"
26-02-2016,"13,6000","14,3800","13,4400"
29-02-2016,"14,3800","14,7500","14,3800"
01-03-2016,"14,7500","15,0000","14,7500"
02-03-2016,"15,0000","15,4000","15,0000"
03-03-2016,"15,1500","15,2700","14,2000"
04-03-2016,"14,5000","14,9000","14,5000"
07-03-2016,"14,7000","14,9000","14,5100"
08-03-2016,"14,8800","14,8800","14,3800"
09-03-2016,"14,3900","14,5000","14,0700"
10-03-2016,"14,4000","14,4000","14,0800"
11-03-2016,"15,1000","15,2500","14,7000"
14-03-2016,"15,2300","16,2000","15,2300"
15-03-2016,"15,8000","15,8000","15,4000"
16-03-2016,"15,4400","15,8000","15,4400"
17-03-2016,"15,8000","15,8000","15,2500"
18-03-2016,"15,6000","15,6900","15,2100"
21-03-2016,"15,2000","15,2400","14,9000"
22-03-2016,"15,6400","15,6400","15,0000"
23-03-2016,"15,0000","15,0000","14,7300"
24-03-2016,"15,1400","15,1400","14,6000"
29-03-2016,"14,9000","14,9000","14,6500"
30-03-2016,"14,9000","14,9000","14,6500"
31-03-2016,"14,8000","14,8000","14,4500"
01-04-2016,"14,4700","14,6500","14,4700"
04-04-2016,"14,6300","14,6300","14,2500"
05-04-2016,"14,4500","14,4500","13,5200"
06-04-2016,"13,6000","13,9900","13,6000"
07-04-2016,"13,9400","14,3200","13,9000"
08-04-2016,"13,8100","14,4500","13,8100"
11-04-2016,"14,0500","14,4000","14,0500"
12-04-2016,"14,4000","14,4000","14,3100"
13-04-2016,"14,4400","14,4400","14,2100"
14-04-2016,"14,2500","14,3000","14,2300"
